RG	[2]Sample	[3]Chromosome	[4]Start	[5]End	[6]Length (bp)	[7]Number of markers	[8]Quality (average fwd-bwd phred score)
RG	s113066	chr1	3707599	3780922	73324	181	11.1
RG	s113066	chr1	9850601	10495200	644600	671	15.6
RG	s113066	chr1	17068895	17086510	17616	74	12.2
RG	s113066	chr1	17308245	17388143	79899	234	21.4
RG	s113066	chr1	24379608	25223077	843470	322	37.0
RG	s113066	chr1	31409670	31576959	167290	105	14.3
RG	s113066	chr1	33519502	33577210	57709	108	15.7
RG	s113066	chr1	40641688	40822368	180681	137	17.5
RG	s113066	chr1	43308677	43603504	294828	630	31.7
RG	s113066	chr1	43612662	43993739	381078	369	16.4
RG	s113066	chr1	46340757	46506933	166177	125	44.2
RG	s113066	chr1	53767869	53951949	184081	183	10.8
RG	s113066	chr1	81836776	84235074	2398299	385	9.6
RG	s113066	chr1	91962581	93993084	2030504	1097	25.2
RG	s113066	chr1	108560585	108816275	255691	295	17.4
RG	s113066	chr1	111563762	112416081	852320	179	23.8
RG	s113066	chr1	146875573	147159337	283765	236	44.4
RG	s113066	chr1	153658973	153958296	299324	530	23.5
RG	s113066	chr1	159813409	159918681	105273	210	18.8
RG	s113066	chr1	196258161	197172111	913951	881	45.4
RG	s113066	chr1	203034558	203128110	93553	211	32.1
RG	s113066	chr1	205053063	205303164	250102	364	38.0
RG	s113066	chr1	225117614	225367810	250197	302	51.2
RG	s113066	chr1	226961311	227139582	178272	227	23.3
RG	s113066	chr1	236143031	236468052	325022	169	20.5
RG	s113066	chr1	247875833	248060631	184799	254	13.3
RG	s113066	chr1	248294550	248387593	93044	133	28.7
RG	s113915	chr1	953259	1035183	81925	214	38.6
RG	s113915	chr1	19267217	20068908	801692	405	29.8
RG	s113915	chr1	99646233	99970553	324321	236	22.1
RG	s114193	chr1	78492699	81836915	3344217	188	13.3
RG	s114193	chr1	230659431	230906873	247443	204	58.5
RG	s114193	chr1	230979103	231366390	387288	219	14.5
RG	s114193	chr1	232471304	234398334	1927031	374	8.3
RG	s114193	chr1	235434348	235766041	331694	238	39.9
RG	s114193	chr1	235800285	235810493	10209	46	7.7
RG	s114193	chr1	235977874	236525982	548109	208	25.8
RG	s114193	chr1	236542978	236574683	31706	141	39.2
RG	s114193	chr1	236889091	237623684	734594	196	14.4
RG	s114194	chr1	169468025	169549774	81750	132	27.2
RG	s114194	chr1	170160560	171138212	977653	177	12.9
RG	s114194	chr1	212329100	212895062	565963	268	7.9
RG	s114951	chr1	19143958	19251330	107373	282	20.7
RG	s114951	chr1	151727605	151846997	119393	159	26.0
RG	s114951	chr1	212302019	212686795	384777	138	9.4
RG	s114951	chr1	213996531	216175107	2178577	716	32.4
RG	s114951	chr1	218285360	220094257	1808898	259	11.8
RG	s114951	chr1	222942762	223394277	451516	190	8.2
RG	s114951	chr1	225367900	226265459	897560	459	26.7
RG	s114951	chr1	226880622	228271892	1391271	658	24.7
RG	s114951	chr1	229431539	230262454	830916	320	14.9
RG	s115318	chr1	1702847	1708728	5882	58	51.3
RG	s115318	chr1	11648470	11706148	57679	109	3.7
RG	s115318	chr1	15164466	15559369	394904	592	65.4
RG	s115318	chr1	15626519	16035224	408706	726	72.6
RG	s115318	chr1	16039574	16057313	17740	196	29.0
RG	s115318	chr1	16061990	16535778	473789	536	41.2
RG	s115318	chr1	16965747	17222445	256699	367	53.2
RG	s115318	chr1	21821271	21890402	69132	497	54.3
RG	s115318	chr1	45561683	45913846	352164	332	13.1
RG	s115318	chr1	78889911	80451736	1561826	105	35.9
RG	s115318	chr1	86343164	86547045	203882	295	27.4
RG	s115318	chr1	100873928	101786673	912746	128	7.0
RG	s115318	chr1	119380618	119711883	331266	164	16.9
RG	s115318	chr1	156249748	156367826	118079	258	17.7
RG	s115318	chr1	160876498	160944977	68480	63	17.5
RG	s115318	chr1	176556254	177164434	608181	292	17.8
RG	s115318	chr1	179339412	179491502	152091	174	10.5
RG	s115318	chr1	179509257	179813017	303761	209	22.7
RG	s115318	chr1	183121588	183292575	170988	286	24.7
RG	s115318	chr1	198523324	201209552	2686229	1423	59.3
RG	s115318	chr1	201210980	205890670	4679691	4518	73.6
RG	s115318	chr1	205930086	206768519	838434	586	43.4
RG	s115318	chr1	206798759	208209984	1411226	1322	61.0
RG	s115318	chr1	224896357	225985203	1088847	943	40.8
RG	s115318	chr1	243316686	245155298	1838613	511	12.1
RG	s115319	chr1	1046486	1142620	96135	203	15.7
RG	s115319	chr1	1701465	1734595	33131	155	33.1
RG	s115319	chr1	4655406	6418827	1763422	796	71.3
RG	s115319	chr1	6444475	6593243	148769	399	25.0
RG	s115319	chr1	7091419	9553604	2462186	1080	64.8
RG	s115319	chr1	11764246	11911032	146787	376	34.9
RG	s115319	chr1	12847476	12881796	34321	200	6.7
RG	s115319	chr1	15716230	15742386	26157	138	23.2
RG	s115319	chr1	30713345	31181624	468280	276	18.7
RG	s115319	chr1	42399197	42789406	390210	367	30.5
RG	s115319	chr1	43878894	44644635	765742	473	24.1
RG	s115319	chr1	66534420	68228113	1693694	782	51.6
RG	s115319	chr1	152217854	152302575	84722	149	27.6
RG	s115319	chr1	156277001	156581176	304176	543	28.9
RG	s115319	chr1	157575420	157796055	220636	266	34.1
RG	s115319	chr1	158611196	158776546	165351	427	38.0
RG	s115319	chr1	161195503	161235027	39525	191	11.9
RG	s115319	chr1	165203770	167518349	2314580	823	24.6
RG	s115319	chr1	167630323	171257795	3627473	2139	59.8
RG	s115319	chr1	201065943	201209552	143610	298	26.2
RG	s115319	chr1	220057894	220879821	821928	534	14.0
RG	s115319	chr1	236468166	236590810	122645	322	54.3
RG	s115319	chr1	248847287	248913724	66438	68	5.5
RG	s115321	chr1	1927672	2024923	97252	158	28.2
RG	s115321	chr1	3021971	5563905	2541935	1102	61.9
RG	s115321	chr1	11764246	11815922	51677	197	8.9
RG	s115321	chr1	12827262	12920070	92809	362	28.3
RG	s115321	chr1	15716230	15742386	26157	137	23.0
RG	s115321	chr1	16028904	16036637	7734	125	20.0
RG	s115321	chr1	21649796	21890402	240607	661	50.1
RG	s115321	chr1	42482914	43197397	714484	584	25.5
RG	s115321	chr1	45561683	45804147	242465	307	10.2
RG	s115321	chr1	47023948	47144260	120313	220	37.1
RG	s115321	chr1	75130703	75541323	410621	180	8.8
RG	s115321	chr1	86343164	86547045	203882	295	28.3
RG	s115321	chr1	108712891	108823036	110146	184	9.9
RG	s115321	chr1	114673041	115651200	978160	449	5.6
RG	s115321	chr1	150550342	150983046	432705	540	32.1
RG	s115321	chr1	152787232	153297886	510655	246	13.5
RG	s115321	chr1	158595415	158642322	46908	144	10.8
RG	s115321	chr1	177929664	177957964	28301	108	13.4
RG	s115321	chr1	204213888	204406155	192268	129	6.7
RG	s115321	chr1	206930301	206958348	28048	68	27.9
RG	s122565	chr1	826681	1035175	208495	315	45.0
RG	s122565	chr1	1255205	1326804	71600	273	14.7
RG	s122565	chr1	1940424	2355373	414950	301	25.8
RG	s122565	chr1	3883490	6385381	2501892	599	25.6
RG	s122565	chr1	7640429	7920668	280240	250	15.8
RG	s122565	chr1	8861360	9710297	848938	385	34.7
RG	s122565	chr1	11648470	11911032	262563	448	45.1
RG	s122565	chr1	13475756	15559369	2083614	661	24.0
RG	s122565	chr1	17070097	17342332	272236	293	23.7
RG	s122565	chr1	17580624	19694424	2113801	1270	14.5
RG	s122565	chr1	21608119	21887183	279065	569	22.6
RG	s122565	chr1	23362237	23509872	147636	148	1.8
RG	s122565	chr1	23785744	24105815	320072	315	35.9
RG	s122565	chr1	24120695	24645944	525250	271	11.0
RG	s122565	chr1	25446970	25961969	515000	227	16.3
RG	s122565	chr1	26268506	26571408	302903	358	15.2
RG	s122565	chr1	31259778	31644777	385000	262	12.4
RG	s122565	chr1	32681756	33010636	328881	215	13.7
RG	s122565	chr1	33082224	34032586	950363	468	15.3
RG	s122565	chr1	58473830	58893621	419792	166	40.2
RG	s122565	chr1	111227559	111414286	186728	162	21.3
RG	s122565	chr1	115651355	115992193	340839	106	10.1
RG	s122565	chr1	236537430	236564358	26929	132	38.7
RG	s122565	chr1	236566665	236686652	119988	154	17.3
RG	s124939	chr1	729089	998953	269865	455	36.9
RG	s124939	chr1	1035166	1082517	47352	203	31.6
RG	s124939	chr1	1756180	2024923	268744	355	39.6
RG	s124939	chr1	3815331	3883460	68130	218	44.1
RG	s124939	chr1	7640293	7842676	202384	274	31.6
RG	s124939	chr1	11072160	11648220	576061	552	16.1
RG	s124939	chr1	11762106	11857407	95302	359	33.8
RG	s124939	chr1	17018926	17092335	73410	124	22.1
RG	s124939	chr1	43145186	43232297	87112	200	34.0
RG	s124939	chr1	46506945	47183834	676890	806	41.9
RG	s124939	chr1	99646233	100196203	549971	598	30.2
RG	s124939	chr1	151612548	151983329	370782	405	42.6
RG	s124939	chr1	175135660	175941970	806311	157	24.0
RG	s124939	chr1	179509257	179900074	390818	285	13.8
RG	s124939	chr1	183023890	183186170	162281	193	49.2
RG	s124939	chr1	212787524	212951817	164294	141	10.6
RG	s124939	chr1	226984257	227563502	579246	235	59.1
RG	s124939	chr1	236143031	236468052	325022	170	19.5
RG	s125977	chr1	16965747	17205087	239341	256	27.0
RG	s125977	chr1	26324059	26410792	86734	129	6.1
RG	s125977	chr1	75541331	75883742	342412	202	32.8
RG	s125984	chr1	167854325	167966622	112298	93	14.3
RG	s127470	chr1	9930235	10598974	668740	683	22.5
RG	s127470	chr1	16205438	16367109	161672	159	17.2
RG	s127470	chr1	39282108	39444423	162316	436	33.5
RG	s127470	chr1	43569524	43878894	309371	269	18.3
RG	s127470	chr1	45561683	46027784	466102	397	27.1
RG	s127470	chr1	46181012	46506933	325922	417	36.8
RG	s127470	chr1	75615939	76305790	689852	312	5.1
RG	s127470	chr1	84630483	84813710	183228	96	19.0
RG	s127470	chr1	85654087	86016996	362910	248	23.6
RG	s127470	chr1	94007798	94098732	90935	226	5.8
RG	s127470	chr1	110847988	111187662	339675	163	5.8
RG	s127470	chr1	158398519	158666434	267916	415	35.3
RG	s127470	chr1	161589399	161663487	74089	138	16.7
RG	s127470	chr1	169603267	169731712	128446	167	18.7
RG	s127470	chr1	169731789	170046559	314771	350	67.4
RG	s127470	chr1	175323377	175941970	618594	127	17.9
RG	s127470	chr1	179094022	179393996	299975	241	34.6
RG	s127470	chr1	179411384	179556917	145534	142	16.5
RG	s127470	chr1	179592523	180154967	562445	474	20.0
RG	s127470	chr1	226961311	227780332	819022	415	48.3
RG	s127470	chr1	229594504	230067243	472740	133	6.9
RG	s127470	chr1	235663108	236011853	348746	338	21.6
RG	s127470	chr1	236524204	236753849	229646	471	60.4
RG	s127470	chr1	236795135	237267505	472371	189	15.0
RG	s127470	chr1	239907349	240437922	530574	192	18.6
RG	s127630	chr1	1752717	2055295	302579	433	50.9
RG	s127630	chr1	9710464	10598974	888511	912	21.1
RG	s127630	chr1	20709601	20807307	97707	130	13.9
RG	s127630	chr1	33270463	33567528	297066	271	25.5
RG	s127630	chr1	37754318	37946125	191808	251	32.5
RG	s127630	chr1	45561683	45629455	67773	185	15.9
RG	s127630	chr1	46181012	46408286	227275	371	30.4
RG	s127630	chr1	71407325	74540092	3132768	343	14.0
RG	s127630	chr1	110847988	111187662	339675	159	6.5
RG	s127630	chr1	151215906	151364449	148544	276	18.3
RG	s127630	chr1	151638794	151781427	142634	236	11.6
RG	s127630	chr1	152884362	153040289	155928	96	4.5
RG	s127630	chr1	155033414	155217353	183940	476	29.9
RG	s127630	chr1	155260278	156154459	894182	1293	43.8
RG	s127630	chr1	159813409	163325983	3512575	3619	62.5
RG	s127630	chr1	174219099	175160983	941885	382	15.0
RG	s127630	chr1	183116433	183186264	69832	144	23.8
RG	s127630	chr1	196273416	196888224	614809	401	26.5
RG	s127630	chr1	204406354	204870883	464530	324	19.6
RG	s127630	chr1	213996531	214605688	609158	226	36.3
RG	s127630	chr1	214628969	215727957	1098989	387	17.2
RG	s127630	chr1	226634645	227780332	1145688	553	46.9
RG	s127630	chr1	229594504	230178130	583627	133	6.7
RG	s127630	chr1	235663108	236011853	348746	338	22.0
RG	s127630	chr1	236524204	236757465	233262	490	59.5
RG	s127630	chr1	239907349	240437922	530574	183	20.2
RG	s127637	chr1	2556224	2783520	227297	212	13.4
RG	s127637	chr1	3869625	4655398	785774	80	15.8
RG	s127637	chr1	17379843	17580613	200771	163	25.3
RG	s127637	chr1	33270463	33567528	297066	281	25.6
RG	s127637	chr1	37754318	37946125	191808	258	27.7
RG	s127637	chr1	43532507	44118727	586221	602	15.0
RG	s127637	chr1	68137769	69568404	1430636	253	13.1
RG	s127637	chr1	74733103	75339642	606540	210	27.4
RG	s127637	chr1	99708928	100196203	487276	544	30.3
RG	s127637	chr1	110847988	111187662	339675	163	6.1
RG	s127637	chr1	151215906	151364449	148544	276	28.9
RG	s127637	chr1	151612193	151781427	169235	238	11.4
RG	s127637	chr1	152884362	153040289	155928	96	4.6
RG	s127637	chr1	155033414	155247312	213899	589	47.8
RG	s127637	chr1	155260278	156154459	894182	1304	54.6
RG	s127637	chr1	183116433	183186170	69738	143	19.9
RG	s127637	chr1	212286128	212614864	328737	155	2.1
RG	s127637	chr1	228294048	228370612	76565	385	31.6
RG	s127637	chr1	245858529	246724416	865888	228	9.8
RG	s132998	chr1	17230211	17339644	109434	166	18.1
RG	s134073	chr1	6218064	6616522	398459	583	12.2
RG	s134073	chr1	11762106	12003900	241795	584	42.9
RG	s134073	chr1	13715673	14180299	464627	133	9.6
RG	s134073	chr1	15425792	15736459	310668	570	39.4
RG	s134073	chr1	16023577	16036637	13061	170	31.9
RG	s134073	chr1	17308245	17354251	46007	118	20.3
RG	s134073	chr1	19074759	19230787	156029	564	28.5
RG	s134073	chr1	20941265	21272629	331365	171	13.9
RG	s134073	chr1	26279722	26361690	81969	207	25.9
RG	s134073	chr1	43597579	44118727	521149	521	20.0
RG	s134073	chr1	75130703	75541323	410621	180	9.5
RG	s134073	chr1	168541060	169110593	569534	117	5.6
RG	s134073	chr1	169691565	169866809	175245	325	56.2
RG	s134073	chr1	185087534	185734598	647065	281	12.5
RG	s134073	chr1	206798759	207089446	290688	384	15.8
RG	s134073	chr1	212726969	212951817	224849	187	27.9
RG	s134073	chr1	230839685	231528694	689010	453	12.6
RG	s134074	chr1	6218064	6614160	396097	598	21.2
RG	s134074	chr1	7640293	9104307	1464015	910	53.0
RG	s134074	chr1	9244939	9730373	485435	313	24.9
RG	s134074	chr1	9731488	11736183	2004696	1940	68.0
RG	s134074	chr1	11762106	12234233	472128	840	64.1
RG	s134074	chr1	12266972	12617245	350274	357	10.7
RG	s134074	chr1	12716137	13369246	653110	757	49.5
RG	s134074	chr1	13389787	15872763	2482977	1324	67.7
RG	s134074	chr1	15937056	16032973	95918	265	45.8
RG	s134074	chr1	16036064	16057020	20957	209	28.6
RG	s134074	chr1	16061990	16535778	473789	530	46.7
RG	s134074	chr1	16691050	16757155	66106	123	16.7
RG	s134074	chr1	16871027	17358581	487555	927	74.2
RG	s134074	chr1	17409190	21973163	4563974	3999	67.5
RG	s134074	chr1	22078617	23929035	1850419	1311	57.8
RG	s134074	chr1	23967737	25340447	1372711	936	58.9
RG	s134074	chr1	40479320	40626346	147027	112	23.5
RG	s134074	chr1	46594157	46798984	204828	168	28.2
RG	s134074	chr1	58659935	58893489	233555	134	11.9
RG	s134074	chr1	85730723	86488908	758186	555	45.6
RG	s134074	chr1	99646233	100719746	1073514	803	57.5
RG	s134074	chr1	120816244	144422959	23606716	117	14.2
RG	s134074	chr1	153607490	153728712	121223	274	5.3
RG	s134074	chr1	156115146	156225364	110219	171	34.3
RG	s134074	chr1	167818018	168038231	220214	280	23.9
RG	s134074	chr1	212286128	212614864	328737	152	3.3
RG	s134074	chr1	212686795	212951529	264735	206	32.0
RG	s134074	chr1	230839685	231528694	689010	447	33.5
RG	s134074	chr1	245684320	247840994	2156675	1228	59.3
RG	s134074	chr1	247856945	248060631	203687	282	10.0
RG	s134074	chr1	248294550	248441083	146534	177	57.8
RG	s134296	chr1	817538	1035165	217628	481	28.8
RG	s134296	chr1	3815331	5563905	1748575	296	65.4
RG	s134296	chr1	11736185	11793858	57674	180	10.3
RG	s134296	chr1	12861233	12881800	20568	56	13.1
RG	s134296	chr1	17308245	17379802	71558	200	22.6
RG	s134296	chr1	21468780	21553983	85204	106	18.2
RG	s134296	chr1	22078617	22593411	514795	214	7.0
RG	s134296	chr1	24346603	24902022	555420	336	15.6
RG	s134296	chr1	31267821	31576911	309091	219	7.3
RG	s134296	chr1	36341880	36471338	129459	236	46.0
RG	s134296	chr1	52974837	53326784	351948	385	19.4
RG	s134296	chr1	54715700	54733758	18059	65	52.7
RG	s134296	chr1	93154836	93254489	99654	164	24.5
RG	s134296	chr1	99708928	100196203	487276	545	30.3
RG	s134296	chr1	115651355	115992013	340659	135	29.1
RG	s134296	chr1	117981341	120443001	2461661	918	33.8
RG	s134296	chr1	120816287	143449533	22633247	74	9.6
RG	s134296	chr1	145393789	146120655	726867	700	25.3
RG	s134296	chr1	147611762	148863302	1251541	314	17.3
RG	s134296	chr1	149476025	152212911	2736887	3201	55.9
RG	s134296	chr1	152307013	152759535	452523	654	52.2
RG	s134296	chr1	152884362	153658704	774343	553	52.4
RG	s134296	chr1	178513157	179043812	530656	237	15.1
RG	s134296	chr1	179394083	179592510	198428	183	13.1
RG	s134296	chr1	179813301	180211327	398027	456	6.8
RG	s134296	chr1	183023890	183186170	162281	193	39.4
RG	s134296	chr1	183472842	183805176	332335	240	7.2
RG	s134296	chr1	185087534	185734598	647065	281	25.5
RG	s134296	chr1	196228210	197172111	943902	894	48.5
RG	s134296	chr1	197268404	200027875	2759472	513	28.0
RG	s134296	chr1	200111226	201210956	1099731	1207	53.3
RG	s134296	chr1	201212089	201740139	528051	497	52.7
RG	s134296	chr1	201780392	203498663	1718272	1765	68.5
RG	s134296	chr1	203720529	207021876	3301348	3092	60.2
RG	s134296	chr1	207049402	207523506	474105	383	44.0
RG	s134296	chr1	207564018	210231588	2667571	1120	61.0
RG	s134296	chr1	210328974	215779705	5450732	1903	59.6
RG	s134296	chr1	236143031	236468052	325022	174	19.1
RG	s139414	chr1	2476794	2555982	79189	238	29.4
RG	s139414	chr1	11736185	11796206	60022	200	8.2
RG	s139414	chr1	17068895	17205087	136193	123	7.1
RG	s139414	chr1	19084446	19251330	166885	627	50.2
RG	s139414	chr1	23743490	24057189	313700	325	3.8
RG	s139414	chr1	45620207	46033535	413329	324	10.5
RG	s139414	chr1	54757636	54865238	107603	164	25.0
RG	s139414	chr1	86382221	86547045	164825	222	45.4
RG	s139414	chr1	111283261	111414366	131106	159	29.5
RG	s139414	chr1	150279874	150550002	270129	342	28.5
RG	s139414	chr1	155014915	155169381	154467	308	23.4
RG	s139414	chr1	155192042	155337525	145484	599	21.4
RG	s139414	chr1	160796016	160944977	148962	205	24.6
RG	s139414	chr1	167518400	167870170	351771	258	11.4
RG	s139414	chr1	169106988	169418955	311968	182	9.9
RG	s139414	chr1	182450489	182794223	343735	245	17.7
RG	s139414	chr1	183103225	183278369	175145	342	36.0
RG	s139414	chr1	196774710	196888224	113515	115	32.4
RG	s139414	chr1	214605688	215005723	400036	244	4.8
RG	s139414	chr1	235172674	235583705	411032	317	27.8
RG	s139414	chr1	236524204	236547918	23715	76	8.1
RG	s139414	chr1	236550764	236574096	23333	141	21.2
RG	s139415	chr1	15465978	15681480	215503	317	28.2
RG	s139415	chr1	17044697	17092335	47639	93	23.2
RG	s139415	chr1	19074759	19235067	160309	585	29.5
RG	s139415	chr1	30873134	31310003	436870	286	5.8
RG	s139415	chr1	65565531	65913195	347665	115	8.4
RG	s139415	chr1	143449593	143904288	454696	57	4.0
RG	s139415	chr1	154253850	154541791	287942	410	21.2
RG	s139415	chr1	196228210	196888224	660015	421	35.4
RG	s139415	chr1	236524204	236555607	31404	127	24.0
RG	s139415	chr1	236557130	236753849	196720	342	32.5
RG	s139415	chr1	241738327	241957568	219242	186	6.1
RG	s140223	chr1	3815331	3842990	27660	112	7.3
RG	s140223	chr1	18480845	18631758	150914	61	30.4
RG	s140223	chr1	20310505	20483552	173048	156	39.5
RG	s140223	chr1	31181655	31576911	395257	280	42.5
RG	s140223	chr1	37682862	37931669	248808	411	42.8
RG	s140223	chr1	44841830	46394303	1552474	1376	50.5
RG	s140223	chr1	46798987	47145817	346831	481	7.0
RG	s140223	chr1	58056347	58893489	837143	219	21.6
