human_gene_id,human_gene_disease_id,entrez_id,gene_symbol,gene_group_id,gene_group,inheritance_pattern,inheritance_type,main_class_type,additional_class_type,additional_class_type_d,main_class_type_g,additional_class_type_g,confidence_criteria_limit_no_patient,sysid_yes_no,disease_subtype,disease_type,alternative_names,additional_references,omim_disease,gene_review,haploinsufficiency_yes_no,clinical_synopsis,human_gene_disease_remark
700,956,445,ASS1,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,0,"CITRULLINEMIA, CLASSIC",CITRULLINEMIA,,,215700,20301631,0,"hyperammonemia, survival with treatment, but usually with significant neurologic deficits, intermediate forms",
701,957,471,ATIC,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,0,"AICAR TRANSFORMYLASE/IMP CYCLOHYDROLASE DEFICIENCY","AICAR TRANSFORMYLASE/IMP CYCLOHYDROLASE DEFICIENCY",NULL,,608688,NULL,0,"profound ID, epilepsy, dysmorphic features, and congenital blindness.",NULL
703,959,554,AVPR2,6,"ID candidate genes","Mendelian X-linked","not sure",NULL,NULL,,,,0,0,"DIABETES INSIPIDUS, NEPHROGENIC, X-LINKED","DIABETES INSIPIDUS, NEPHROGENIC, X-LINKED",,,304800,20301356,0,"polyuria, polydypsia, dehydration, decompensation, brain damage",
703,960,554,AVPR2,6,"ID candidate genes","Mendelian X-linked","not sure",NULL,NULL,,,,0,0,"NEPHROGENIC SYNDROME OF INAPPROPRIATE ANTIDIURESIS; NSIAD","NEPHROGENIC SYNDROME OF INAPPROPRIATE ANTIDIURESIS; NSIAD",NULL,,300539,NULL,0,"polyuria, polydypsia, dehydration, decompensation, brain damage",NULL
704,961,686,BTD,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,0,"BIOTINIDASE DEFICIENCY","BIOTINIDASE DEFICIENCY",,,253260,20301497,0,"neurologic abnormalities including seizures, hypotonia, ataxia, developmental delay, vision problems, hearing loss, and cutaneous abnormalities",
705,962,5538,PPT1,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,0,"CEROID LIPOFUSCINOSIS, NEURONAL, 1; CLN1","CEROID LIPOFUSCINOSIS, NEURONAL",NULL,,256730,NULL,0,"progressive dementia, seizures, and progressive visual failure",NULL
706,963,1200,TPP1,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,0,"CEROID LIPOFUSCINOSIS, NEURONAL, 2; CLN2","CEROID LIPOFUSCINOSIS, NEURONAL",NULL,,204500,NULL,0,"progressive dementia, seizures, and progressive visual failure",NULL
707,964,1201,CLN3,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,0,"CEROID LIPOFUSCINOSIS, NEURONAL, 3; CLN3","CEROID LIPOFUSCINOSIS, NEURONAL",NULL,,204200,NULL,0,"progressive dementia, seizures, and progressive visual failure",NULL
708,965,1203,CLN5,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,0,"CEROID LIPOFUSCINOSIS, NEURONAL, 5; CLN5","CEROID LIPOFUSCINOSIS, NEURONAL",NULL,,256731,NULL,0,"progressive dementia, seizures, and progressive visual failure",NULL
709,966,54982,CLN6,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,0,"CEROID LIPOFUSCINOSIS, NEURONAL, 6; CLN6","CEROID LIPOFUSCINOSIS, NEURONAL",,,601780,NULL,0,"progressive dementia, seizures, and progressive visual failure; late-onset infantile neuronal ceroid lipofuscinosis",
709,1034,54982,CLN6,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,0,"CEROID LIPOFUSCINOSIS, NEURONAL, 4A, AUTOSOMAL RECESSIVE; CLN4A","CEROID LIPOFUSCINOSIS, NEURONAL,",NULL,,204300,NULL,0,,NULL
710,967,2055,CLN8,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,0,"CEROID LIPOFUSCINOSIS, NEURONAL, 8; CLN8","CEROID LIPOFUSCINOSIS, NEURONAL",NULL,,600143,NULL,0,"progressive dementia, seizures, and progressive visual failure",NULL
711,968,152330,CNTN4,6,"ID candidate genes","Mendelian autosomal",dominant,NULL,NULL,,,,0,1,"intellectual disability","intellectual disability",,"30923172,31422286",NULL,NULL,0,"few disruptions and CNVS, no mutations: autism, behaviour, learning difficulties; plus 1 balanced translocation in a patient with ID, behavioural troubles facial dymorphism and other breakpoints in CELF2 and CAMK1D; plus 3 inherited intragenic deletions and duplications: cognitive delay, growth restriction, motor delay 2/3, febrile seizures/epilepsy 2/3, speech apraxia",
712,969,1373,CPS1,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,0,"CARBAMOYL PHOSPHATE SYNTHETASE I DEFICIENCY, HYPERAMMONEMIA DUE TO","CARBAMOYL PHOSPHATE SYNTHETASE I DEFICIENCY, HYPERAMMONEMIA DUE TO",NULL,,237300,NULL,0,"ID secondary to hyperammonemia; development initally normal",NULL
713,970,5476,CTSA,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,0,"GALACTOSIALIDOSIS; GSL","GALACTOSIALIDOSIS; GSL",NULL,,256540,NULL,0,"lysosomal storage disorder,  variable forms concerning age of onset and severity",NULL
715,972,22845,DOLK,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,0,"CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Im; CDG1M","CONGENITAL DISORDER OF GLYCOSYLATION",NULL,,610768,NULL,0,"CDG, hypotonia and ichthyosis,  died between 4 and 9 months",NULL
716,973,79152,FA2H,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,0,"SPASTIC PARAPLEGIA 35, AUTOSOMAL RECESSIVE; SPG35","SPASTIC PARAPLEGIA, AUTOSOMAL RECESSIVE",,,612319,21735565,0,"normal early development; 4-6 y: progressive neurologic features, cognitive decline, progressive MRI anomalies",
717,974,2259,FGF14,6,"ID candidate genes","Mendelian autosomal",dominant,NULL,NULL,,,,0,0,"SPINOCEREBELLAR ATAXIA 27; SCA27","SPINOCEREBELLAR ATAXIA ",NULL,,609307,NULL,0,"early onset tremor, dyskinesia, slowly progressive ataxia, cognitive low, mild MR in 1",NULL
719,976,2539,G6PD,6,"ID candidate genes","Mendelian X-linked","not sure",NULL,NULL,,,,0,0,"ANEMIA, NONSPHEROCYTIC HEMOLYTIC, DUE TO G6PD DEFICIENCY","ANEMIA, NONSPHEROCYTIC HEMOLYTIC, DUE TO G6PD DEFICIENCY",NULL,,300908,NULL,0,"neonatal jaundice and acute hemolytic anemia",NULL
720,977,2639,GCDH,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,0,"GLUTARIC ACIDEMIA I","GLUTARIC ACIDEMIA",,32056211,231670,31536184,0,"gliosis and neuronal loss in basal ganglia, progressive movement disorder from 1y; plus 1 family with NDD",
723,983,2760,GM2A,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,0,"GM2-GANGLIOSIDOSIS, AB VARIANT",GM2-GANGLIOSIDOSIS,NULL,,272750,NULL,0,"AB-variant form of GM2 gangliosidosis, Tay Sachs",NULL
724,984,2821,GPI,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,0,"HEMOLYTIC ANEMIA, NONSPHEROCYTIC, DUE TO GLUCOSE PHOSPHATE ISOMERASE DEFICIENCY","HEMOLYTIC ANEMIA, NONSPHEROCYTIC, DUE TO GLUCOSE PHOSPHATE ISOMERASE DEFICIENCY",NULL,,613470,NULL,0,,NULL
725,985,3073,HEXA,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,0,"Tay-Sachs disease","TAY-SACHS DISEASE; TSD",,,272800,20301397,0,"progressive weakness, loss of motor skills, decreased attentiveness, increased startle response, neurodegeneration, including seizures, blindness, spasticity, eventual total incapacitation, and death, forms of later onset",
726,986,3074,HEXB,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,0,"SANDHOFF DISEASE","SANDHOFF DISEASE",NULL,,268800,NULL,0,"neonatal to late onset, progressive neurodegenerative accumulation of GM2 gangliosides, particularly in neurons, spinocerebellar problems, ataxia, dystonia",NULL
727,987,3155,HMGCL,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,0,"3-HYDROXY-3-METHYLGLUTARYL-CoA LYASE DEFICIENCY; HMGCLD","3-HYDROXY-3-METHYLGLUTARYL-CoA LYASE DEFICIENCY; HMGCLD",NULL,,246450,NULL,0,"very variable, often asympotmatic, vomiting, convulsions, metabolic acidosis, hypoketotic hypoglycaemia and lethargy",NULL
728,988,3476,IGBP1,6,"ID candidate genes","Mendelian X-linked",recessive,NULL,NULL,,,,0,0,"CORPUS CALLOSUM, AGENESIS OF, WITH MENTAL RETARDATION, OCULAR COLOBOMA, AND MICROGNATHIA","CORPUS CALLOSUM, AGENESIS OF, WITH MENTAL RETARDATION, OCULAR COLOBOMA, AND MICROGNATHIA",NULL,,300472,NULL,0,"coloboma of the iris and optic nerve, ID, agenesis of the corpus callosum. sensorineural hearing loss, pectus excavatum, scoliosis, and short stature",NULL
729,989,3679,ITGA7,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,0,"MUSCULAR DYSTROPHY, CONGENITAL, DUE TO INTEGRIN ALPHA-7 DEFICIENCY","MUSCULAR DYSTROPHY, CONGENITAL, DUE TO INTEGRIN ALPHA-7 DEFICIENCY",,26539891,613204,NULL,0,"muscle dystrophy, motor delay, 1 of 3 with ID; 1 patient: Microcephaly, agenesis of corpus callosum, cerebellar hypoplasia, seizures",
730,991,9901,SRGAP3,6,"ID candidate genes","Mendelian autosomal",dominant,NULL,NULL,,,,0,1,ID,ID,,"12195014,28191889",NULL,NULL,0,"1x hypotonia, severe ID, 1x ASD",
731,992,4556,MT-TE,6,"ID candidate genes",Mitochondrial,N/A,NULL,NULL,,,,0,1,"HSD10 MITOCHONDRIAL DISEASE; HSD10MD","HSD10 MITOCHONDRIAL DISEASE",,,300438,NULL,0,"ataxia, diabetes, muscle weakness",
732,993,4942,OAT,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,0,"GYRATE ATROPHY OF CHOROID AND RETINA; GACR","GYRATE ATROPHY OF CHOROID AND RETINA; GACR",NULL,,258870,NULL,0,"neonatal hyperammonaemia, encephalopathy",NULL
733,994,5009,OTC,6,"ID candidate genes","Mendelian X-linked","not sure",NULL,NULL,,,,0,0,"ORNITHINE TRANSCARBAMYLASE DEFICIENCY, HYPERAMMONEMIA DUE TO","ORNITHINE TRANSCARBAMYLASE DEFICIENCY, HYPERAMMONEMIA DUE TO",,,311250,24006547,0,"hyperammonemia, toxic encephalopathy, somnolence to lethargy and coma, seizures",
735,996,5095,PCCA,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,0,Propionicacidemia,"PROPIONIC ACIDEMIA",,,606054,22593918,0,"toxic encephalopathy, Ketosis, acidosis, neutropenia, episodic vomiting, lethargy and ketosis,  periodic thrombocytopenia, hypogammaglobulinemia, developmental retardation, and intolerance to protein",
736,997,5096,PCCB,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,0,Propionicacidemia,"PROPIONIC ACIDEMIA",,,606054,22593918,0,"toxic encephalopathy, Ketosis, acidosis, neutropenia, episodic vomiting, lethargy and ketosis,  periodic thrombocytopenia, hypogammaglobulinemia, developmental retardation, and intolerance to protein",
737,998,54704,PDP1,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,0,"PYRUVATE DEHYDROGENASE PHOSPHATASE DEFICIENCY; PDHPD","PYRUVATE DEHYDROGENASE PHOSPHATASE DEFICIENCY; PDHPD",NULL,15855260,608782,NULL,0,"neonatal hypotonia, elevated lactate, 1 died, 2 have slightly delayed psychomotor development with treatment",NULL
738,1000,5660,PSAP,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,0,"METACHROMATIC LEUKODYSTROPHY DUE TO SAPOSIN B DEFICIENCY","METACHROMATIC LEUKODYSTROPHY DUE TO SAPOSIN B DEFICIENCY",NULL,,249900,NULL,0,"3patients mild to severe motor deterioration, hypotonia, weakness, and signs of CNS demyelination and polyneuropathy",NULL
738,1001,5660,PSAP,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,0,"COMBINED SAPOSIN DEFICIENCY","COMBINED SAPOSIN DEFICIENCY",NULL,,611721,NULL,0,"hepatosplenomegaly, severe neurologic disease, lethal",NULL
738,1002,5660,PSAP,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,0,"GAUCHER DISEASE, ATYPICAL, DUE TO SAPOSIN C DEFICIENCY","GAUCHER DISEASE, ATYPICAL, DUE TO SAPOSIN C DEFICIENCY",NULL,,610539,NULL,0,"neurological signs, lethal",NULL
738,1003,5660,PSAP,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,0,"KRABBE DISEASE, ATYPICAL, DUE TO SAPOSIN A DEFICIENCY","KRABBE DISEASE, ATYPICAL, DUE TO SAPOSIN A DEFICIENCY",NULL,,611722,NULL,0,"1p rapid neurologic deterioration and loss of acquired milestones, brain atrophy, lethal",NULL
739,1004,5805,PTS,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,0,"HYPERPHENYLALANINEMIA, BH4-DEFICIENT, A; HPABH4A","HYPERPHENYLALANINEMIA, BH4-DEFICIENT, A; HPABH4A",NULL,,261640,NULL,0,"like PKU, but not responsive to dietary treatment, secondary ID, epilepsy, and pyramidal, cerebellar, and extrapyramidal signs, IQ correlating with start of treatment",NULL
740,1005,5860,QDPR,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,0,"HYPERPHENYLALANINEMIA, BH4-DEFICIENT, C; HPABH4C","HYPERPHENYLALANINEMIA, BH4-DEFICIENT, C; HPABH4C",NULL,,261630,NULL,0,"like PKU, but not responsive to dietary treatment, secondary ID, epilepsy, and pyramidal, cerebellar, and extrapyramidal signs, IQ correlating with start of treatment",NULL
741,1006,51128,SAR1B,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,0,"CHYLOMICRON RETENTION DISEASE; CMRD","CHYLOMICRON RETENTION DISEASE; CMRD",NULL,,246700,NULL,0,"severe fat malabsorption associated with failure to thrive in infancy, treatable with low fat diet",NULL
742,1007,54903,MKS1,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,0,"MECKEL SYNDROME, TYPE 1; MKS1autosomal recessive","MECKEL SYNDROME, TYPE 1; MKS1",,,249000,"20301500,20301537",0,"lethal, renal cysticdysplasia, occipital encephalocele, polydactyly biliary dysgenesis.MKS1: polydactyly",
742,1008,54903,MKS1,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,1,"BARDET-BIEDL SYNDROME 13; BBS13","BARDET-BIEDL SYNDROME",,,615990,"20301537,20301500",0,"1 patient with BBS phenotype",
743,1009,80704,SLC19A3,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,0,"THIAMINE METABOLISM DYSFUNCTION SYNDROME 2 (BIOTIN- OR THIAMINE-RESPONSIVE TYPE); THMD2","THIAMINE METABOLISM DYSFUNCTION SYNDROME",,,607483,24260777,0,"subacute encephalopathy, facial nerve palsy, ophthalmoplegia, dystonia, MRI findings",
744,1010,9056,SLC7A7,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,0,"LYSINURIC PROTEIN INTOLERANCE; LPI","LYSINURIC PROTEIN INTOLERANCE; LPI",,,222700,20301535,0,"vomiting,diarrhea, episodes of stupor and coma after a protein-rich meal",
745,1011,6908,TBP,6,"ID candidate genes","Mendelian autosomal",dominant,NULL,NULL,,,,0,0,"SPINOCEREBELLAR ATAXIA 17; SCA17","SPINOCEREBELLAR ATAXIA 17; SCA17",,,607136,20301611,0,"ataxia, pyramidal signs, intellectual impairment, similar to Huntingtons disease",
745,2531,6908,TBP,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,1,"Developmental Disorder","Developmental Disorder",,28600779,NULL,NULL,0,"1 patient wiht familial mild ID, difficulty in walking, abnormal movement",
746,1012,6948,TCN2,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,0,"TRANSCOBALAMIN II DEFICIENCY","TRANSCOBALAMIN II DEFICIENCY",NULL,,275350,NULL,0,"macrocytic anemia, pancytopenia, failure to thrive and eventually neurological symptoms, in particular when treatment is delayed.",NULL
747,1013,6997,TDGF1,6,"ID candidate genes","Mendelian autosomal","not sure",NULL,NULL,,,,0,1,"central nervous system malformation","central nervous system malformation",,,NULL,NULL,0,"developmental delay, dysplastic forebrain",
748,1014,7173,TPO,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,0,"THYROID DYSHORMONOGENESIS 2A; TDH2A","THYROID DYSHORMONOGENESIS",NULL,,274500,NULL,0,"severe form of congenital hypothyroidism",NULL
749,1015,7252,TSHB,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,0,"HYPOTHYROIDISM, CONGENITAL, NONGOITROUS, 4; CHNG4","HYPOTHYROIDISM, CONGENITAL, NONGOITROUS",NULL,,275100,NULL,0,"TSH deficient hypothyreoidism",NULL
750,1016,7704,ZBTB16,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,0,"SKELETAL DEFECTS, GENITAL HYPOPLASIA, AND MENTAL RETARDATION","SKELETAL DEFECTS, GENITAL HYPOPLASIA, AND MENTAL RETARDATION",NULL,,612447,NULL,0,"1 pateint, skeletal defects, genital hypoplasia, and mental retardation, microcephaly, short stature, dysmorphies",NULL
751,1017,158866,ZDHHC15,6,"ID candidate genes","Mendelian X-linked","not sure",NULL,NULL,,,,0,1,"intellectual disability","intellectual disability",,,NULL,NULL,0,"severe nonsyndromic ID, seizures, dysmorphism, obesity in childhood",
752,1018,5449,POU1F1,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,0,"Pituitary hormone deficiency, combined, 1","PITUITARY HORMONE DEFICIENCY, COMBINED",NULL,,613038,NULL,0,"combined pituitary hormone deficiencies , cretinism",NULL
752,3460,5449,POU1F1,6,"ID candidate genes","Mendelian autosomal",dominant,NULL,NULL,,,,0,0,"Pituitary hormone deficiency, combined, 1","PITUITARY HORMONE DEFICIENCY, COMBINED",,,613038,NULL,0,"combined pituitary hormone deficiencies, cretinism",
753,1019,2175,FANCA,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,0,"FANCONI ANEMIA, COMPLEMENTATION GROUP A; FANCA","FANCONI ANEMIA",,,227650,20301575,0,"developmental abnormalities in major organ systems, early-onset bone marrow failure, and a high predisposition to cancer",
754,1020,2187,FANCB,6,"ID candidate genes","Mendelian X-linked",recessive,NULL,NULL,,,,0,0,"FANCONI ANEMIA, COMPLEMENTATION GROUP B; FANCB","FANCONI ANEMIA",,,300514,20301575,0,"developmental abnormalities in major organ systems, early-onset bone marrow failure, and a high predisposition to cancer",
755,1021,2176,FANCC,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,0,"FANCONI ANEMIA, COMPLEMENTATION GROUP C; FANCC","FANCONI ANEMIA",NULL,,227645,NULL,0,"developmental abnormalities in major organ systems, early-onset bone marrow failure, and a high predisposition to cancer",NULL
756,1022,10559,SLC35A1,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,0,"CONGENITAL DISORDER OF GLYCOSYLATION, TYPE IIf; CDG2F","CONGENITAL DISORDER OF GLYCOSYLATION",NULL,,603585,NULL,0,"CDG, macrothrombocytopenia, neutropenia, and immunodeficiency",NULL
759,1025,4726,NDUFS6,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,1,"MITOCHONDRIAL COMPLEX I DEFICIENCY, NUCLEAR TYPE 9; MC1DN9","MITOCHONDRIAL COMPLEX I DEFICIENCY",,,618232,NULL,0,"4 unrelated patients: fatal infantile mitochondrial disorder",
760,1026,9409,PEX16,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,0,"PEROXISOME BIOGENESIS DISORDER 8A (ZELLWEGER); PBD8A","PEROXISOME BIOGENESIS DISORDER 8A (ZELLWEGER); PBD8A",NULL,,614876,NULL,0,"3 patients",NULL
760,1027,9409,PEX16,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,0,"PEROXISOME BIOGENESIS DISORDER 8B; PBD8B","PEROXISOME BIOGENESIS DISORDER",NULL,,614877,NULL,0,"normal initial development.  progressive neurologic symptoms, progressive white matter abnormalities; Cognition was relatively preserved",NULL
761,1028,5824,PEX19,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,0,"PEROXISOME BIOGENESIS DISORDER 12A (ZELLWEGER); PBD12A","PEROXISOME BIOGENESIS DISORDER",NULL,,614886,NULL,0,"ZS severe, neonatal Adrenoleukodystrophy and infantile Refsum diseae milder, hypotonic, feed poorly, facies, seizures, and liver cysts with hepatic dysfunction, Older children have retinal dystrophy, sensorineural hearing loss, developmental delay with hypotonia, and liver dysfunction",NULL
762,1029,5828,PEX2,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,0,"PEROXISOME BIOGENESIS DISORDER 5B; PBD5B","PEROXISOME BIOGENESIS DISORDER",NULL,,614867,NULL,0,,NULL
762,1030,5828,PEX2,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,0,"PEROXISOME BIOGENESIS DISORDER 5A (ZELLWEGER); PBD5A","PEROXISOME BIOGENESIS DISORDER",NULL,,614866,NULL,0,,NULL
763,1031,8504,PEX3,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,0,"PEROXISOME BIOGENESIS DISORDER 10A (ZELLWEGER); PBD10A","PEROXISOME BIOGENESIS DISORDER",NULL,,614882,NULL,0,"all died within few weeks/months",NULL
764,1032,1137,CHRNA4,6,"ID candidate genes","Mendelian autosomal",dominant,NULL,NULL,,,,0,0,"EPILEPSY, NOCTURNAL FRONTAL LOBE, 1; ENFL1","EPILEPSY, NOCTURNAL FRONTAL LOBE",NULL,,600513,NULL,0,"clusters of nocturnal motor seizures, intellect is usually preserved",NULL
765,1035,9244,CRLF1,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,0,"COLD-INDUCED SWEATING SYNDROME 1; CISS1","COLD-INDUCED SWEATING SYNDROME 1; CISS1",NULL,,272430,NULL,0,"orofacial weakness, muscular contractions, hyperthermia and sudden death in many cases",NULL
766,1036,1509,CTSD,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,0,"CEROID LIPOFUSCINOSIS, NEURONAL, 10; CLN10","CEROID LIPOFUSCINOSIS, NEURONAL",NULL,,610127,NULL,0,"developmental regression, visual loss, and epilepsy",NULL
767,1038,2178,FANCE,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,0,"FANCONI ANEMIA, COMPLEMENTATION GROUP E; FANCE","FANCONI ANEMIA",,,600901,20301575,0,,
768,1039,2188,FANCF,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,0,"FANCONI ANEMIA, COMPLEMENTATION GROUP F; FANCF","FANCONI ANEMIA",,,603467,20301575,0,,
769,1040,2189,FANCG,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,0,"FANCONI ANEMIA, COMPLEMENTATION GROUP G; FANCG","FANCONI ANEMIA",,,614082,20301575,0,,
770,1041,55120,FANCL,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,0,"FANCONI ANEMIA, COMPLEMENTATION GROUP L; FANCL","FANCONI ANEMIA",,,614083,20301575,0,,
772,1043,341640,FREM2,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,1,"FRASER SYNDROME 2; FRASRS2","FRASER SYNDROME",,18671281,617666,NULL,0,"cryptophthalmos, syndactyly, abnormalities of the respiratory and urogenital tract",
772,3354,341640,FREM2,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,1,"CRYPTOPHTHALMOS, UNILATERAL OR BILATERAL, ISOLATED; CRYPTOP","CRYPTOPHTHALMOS, UNILATERAL OR BILATERAL, ISOLATED",,,123570,NULL,0,"cryptophthalmos, normal development",
